title,event_url,image_url,status,production_type,date_time,origin,market_presence,age_of_production
Molly Brenner: Inhibited,https://ci.ovationtix.com/35583/production/1204356,https://web.ovationtix.com/trs/api/rest/ClientFile(530449),upcoming,N/A,5 June 2025 - 7:00 pm,N/A,N/A,N/A
Molly Brenner: Inhibited,https://ci.ovationtix.com/35583/production/1204356,https://web.ovationtix.com/trs/api/rest/ClientFile(530449),upcoming,N/A,6 June 2025 - 7:00 pm,N/A,N/A,N/A
Molly Brenner: Inhibited,https://ci.ovationtix.com/35583/production/1204356,https://web.ovationtix.com/trs/api/rest/ClientFile(530449),upcoming,N/A,7 June 2025 - 7:00 pm,N/A,N/A,N/A
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,https://web.ovationtix.com/trs/api/rest/ClientFile(549410),upcoming,N/A,5 June 2025 - 7:00 pm,N/A,N/A,N/A
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,https://web.ovationtix.com/trs/api/rest/ClientFile(549410),upcoming,N/A,6 June 2025 - 7:00 pm,N/A,N/A,N/A
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,https://web.ovationtix.com/trs/api/rest/ClientFile(549410),upcoming,N/A,7 June 2025 - 7:00 pm,N/A,N/A,N/A
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,https://web.ovationtix.com/trs/api/rest/ClientFile(549410),upcoming,N/A,8 June 2025 - 5:00 pm,N/A,N/A,N/A
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,https://web.ovationtix.com/trs/api/rest/ClientFile(549410),upcoming,N/A,11 June 2025 - 7:00 pm,N/A,N/A,N/A
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,https://web.ovationtix.com/trs/api/rest/ClientFile(549410),upcoming,N/A,12 June 2025 - 7:00 pm,N/A,N/A,N/A
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,https://web.ovationtix.com/trs/api/rest/ClientFile(549410),upcoming,N/A,13 June 2025 - 7:00 pm,N/A,N/A,N/A
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,https://web.ovationtix.com/trs/api/rest/ClientFile(549410),upcoming,N/A,14 June 2025 - 4:00 pm,N/A,N/A,N/A
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,https://web.ovationtix.com/trs/api/rest/ClientFile(549410),upcoming,N/A,14 June 2025 - 7:00 pm,N/A,N/A,N/A
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,https://web.ovationtix.com/trs/api/rest/ClientFile(549410),upcoming,N/A,15 June 2025 - 5:00 pm,N/A,N/A,N/A
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,https://web.ovationtix.com/trs/api/rest/ClientFile(549410),upcoming,N/A,18 June 2025 - 7:00 pm,N/A,N/A,N/A
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,https://web.ovationtix.com/trs/api/rest/ClientFile(549410),upcoming,N/A,19 June 2025 - 7:00 pm,N/A,N/A,N/A
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,https://web.ovationtix.com/trs/api/rest/ClientFile(549410),upcoming,N/A,20 June 2025 - 7:00 pm,N/A,N/A,N/A
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,https://web.ovationtix.com/trs/api/rest/ClientFile(549410),upcoming,N/A,21 June 2025 - 7:00 pm,N/A,N/A,N/A
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,https://web.ovationtix.com/trs/api/rest/ClientFile(549410),upcoming,N/A,22 June 2025 - 5:00 pm,N/A,N/A,N/A
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,https://web.ovationtix.com/trs/api/rest/ClientFile(549410),upcoming,N/A,25 June 2025 - 7:00 pm,N/A,N/A,N/A
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,https://web.ovationtix.com/trs/api/rest/ClientFile(549410),upcoming,N/A,26 June 2025 - 7:00 pm,N/A,N/A,N/A
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,https://web.ovationtix.com/trs/api/rest/ClientFile(549410),upcoming,N/A,27 June 2025 - 7:00 pm,N/A,N/A,N/A
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,https://web.ovationtix.com/trs/api/rest/ClientFile(549410),upcoming,N/A,28 June 2025 - 4:00 pm,N/A,N/A,N/A
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,https://web.ovationtix.com/trs/api/rest/ClientFile(549410),upcoming,N/A,28 June 2025 - 7:00 pm,N/A,N/A,N/A
A Letter To Lyndon B. Johnson or God: Whoever Reads This First,https://ci.ovationtix.com/35583/production/1217867,https://web.ovationtix.com/trs/api/rest/ClientFile(549410),upcoming,N/A,29 June 2025 - 5:00 pm,N/A,N/A,N/A
HARDLOVE,https://ci.ovationtix.com/35583/production/1238285,https://web.ovationtix.com/trs/api/rest/ClientFile(571706),upcoming,N/A,5 June 2025 - 9:00 pm,N/A,N/A,N/A
HARDLOVE,https://ci.ovationtix.com/35583/production/1238285,https://web.ovationtix.com/trs/api/rest/ClientFile(571706),upcoming,N/A,7 June 2025 - 9:00 pm,N/A,N/A,N/A
HARDLOVE,https://ci.ovationtix.com/35583/production/1238285,https://web.ovationtix.com/trs/api/rest/ClientFile(571706),upcoming,N/A,12 June 2025 - 9:00 pm,N/A,N/A,N/A
HARDLOVE,https://ci.ovationtix.com/35583/production/1238285,https://web.ovationtix.com/trs/api/rest/ClientFile(571706),upcoming,N/A,14 June 2025 - 9:00 pm,N/A,N/A,N/A
"Luna Performing Arts presents: NEW YORK, NEW YORK",https://ci.ovationtix.com/35583/production/1239047,N/A,upcoming,N/A,8 June 2025 - 11:00 am,N/A,N/A,N/A
"Luna Performing Arts presents: NEW YORK, NEW YORK",https://ci.ovationtix.com/35583/production/1239047,N/A,upcoming,N/A,8 June 2025 - 12:45 pm,N/A,N/A,N/A
TJ & Dave,https://ci.ovationtix.com/35583/production/1120895,https://web.ovationtix.com/trs/api/rest/ClientFile(426540),upcoming,N/A,12 June 2025 - 9:00 pm,N/A,N/A,N/A
TJ & Dave,https://ci.ovationtix.com/35583/production/1120895,https://web.ovationtix.com/trs/api/rest/ClientFile(426540),upcoming,N/A,13 June 2025 - 9:00 pm,N/A,N/A,N/A
TJ & Dave,https://ci.ovationtix.com/35583/production/1120895,https://web.ovationtix.com/trs/api/rest/ClientFile(426540),upcoming,N/A,14 June 2025 - 9:00 pm,N/A,N/A,N/A
TJ & Dave,https://ci.ovationtix.com/35583/production/1120895,https://web.ovationtix.com/trs/api/rest/ClientFile(426540),upcoming,N/A,15 June 2025 - 7:30 pm,N/A,N/A,N/A
Jon Schnitzer: JUST THE TIP,https://ci.ovationtix.com/35583/production/1235245,https://web.ovationtix.com/trs/api/rest/ClientFile(567663),upcoming,N/A,19 June 2025 - 7:00 pm,N/A,N/A,N/A
Jon Schnitzer: JUST THE TIP,https://ci.ovationtix.com/35583/production/1235245,https://web.ovationtix.com/trs/api/rest/ClientFile(567663),upcoming,N/A,20 June 2025 - 7:00 pm,N/A,N/A,N/A
